"continent","doi","farm_type","host","antimicrobial_compound","pathogen","percent_resistant","no_isolates"
"North America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","NAL","Salmonella",0,12
"North America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","STR","Salmonella",58,12
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","AMC","Salmonella",0,16
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","AMK","Salmonella",0,16
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","AMP","Salmonella",0,16
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","CIP","Salmonella",0,16
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","CTX","Salmonella",0,16
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","ENR","Salmonella",0,16
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","ERY","Salmonella",100,16
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","GEN","Salmonella",0,16
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","IMP","Salmonella",0,16
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","NOR","Salmonella",0,16
"Asia","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","STR","Salmonella",0,16
"North America","DOI: 10.1289/ehp.1003350","Organic","Environment","CIP","Enterococcus",41,18
"North America","DOI: 10.1289/ehp.1003350","Organic","Environment","ERY","Enterococcus",6,18
"North America","DOI: 10.1289/ehp.1003350","Organic","Environment","GEN","Enterococcus",0,18
"North America","DOI: 10.1289/ehp.1003350","Organic","Environment","KAN","Enterococcus",0,18
"North America","DOI: 10.1289/ehp.1003350","Organic","Environment","STR","Enterococcus",6,18
"North America","DOI: 10.1289/ehp.1003350","Organic","Environment","TGC","Enterococcus",0,18
"Europe","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","AMP","E.coli",93,28
"Europe","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","CAZI","E.coli",0,28
"Europe","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","CIP","E.coli",64,28
"Europe","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","CST","E.coli",14,28
"Europe","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","CTX","E.coli",0,28
"Europe","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","GEN","E.coli",50,28
"Europe","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","KAN","E.coli",25,28
"Europe","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","NAL","E.coli",61,28
"Europe","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","STR","E.coli",75,28
"Asia","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","AMC","Salmonella",13,30
"Asia","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","AMP","Salmonella",23,30
"Asia","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","CIP","Salmonella",0,30
"Asia","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","CTF","Salmonella",3,30
"Asia","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","GEN","Salmonella",47,30
"Asia","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","NAL","Salmonella",57,30
"Europe","DOI: 10.1016/j.ijantimicag.2005.09.020","Organic","Chicken","CIP","Campylobacter",0,30
"Europe","DOI: 10.1016/j.ijantimicag.2005.09.020","Organic","Chicken","ERY","Campylobacter",100,30
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","ERY","Listeria",6,32
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","GEN","Listeria",0,32
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","VAN","Listeria",0,32
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","AMC","S.aureus",0,33
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","CLIN","S.aureus",0,33
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","CTF","S.aureus",0,33
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","ENR","S.aureus",6,33
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","ERY","S.aureus",0,33
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","GEN","S.aureus",6,33
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","VAN","S.aureus",0,33
"Asia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","AMC","Salmonella",0,34
"Asia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","AMP","Salmonella",15,34
"Asia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","CTX","Salmonella",3,34
"Asia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","GEN","Salmonella",6,34
"Asia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","NAL","Salmonella",12,34
"Asia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","STR","Salmonella",18,34
"Europe","doi.org/10.3390/pathogens10121630","Conventional","Chicken","CIP","Campylobacter",11,34
"Europe","doi.org/10.3390/pathogens10121630","Conventional","Chicken","ERY","Campylobacter",0,34
"Europe","doi.org/10.3390/pathogens10121630","Conventional","Chicken","GEN","Campylobacter",0,34
"Europe","doi.org/10.3390/pathogens10121630","Conventional","Chicken","NAL","Campylobacter",11,34
"Europe","doi.org/10.3390/pathogens10121630","Conventional","Chicken","STR","Campylobacter",11,34
"Asia","doi: 10.3390/antibiotics9100701","Organic","Chicken","AMC","Salmonella",3,34
"Asia","doi: 10.3390/antibiotics9100701","Organic","Chicken","AMP","Salmonella",9,34
"Asia","doi: 10.3390/antibiotics9100701","Organic","Chicken","CTX","Salmonella",0,34
"Asia","doi: 10.3390/antibiotics9100701","Organic","Chicken","GEN","Salmonella",3,34
"Asia","doi: 10.3390/antibiotics9100701","Organic","Chicken","NAL","Salmonella",3,34
"Asia","doi: 10.3390/antibiotics9100701","Organic","Chicken","STR","Salmonella",12,34
"Europe","doi.org/10.3390/pathogens10121630","Organic","Chicken","CIP","Campylobacter",0,34
"Europe","doi.org/10.3390/pathogens10121630","Organic","Chicken","ERY","Campylobacter",0,34
"Europe","doi.org/10.3390/pathogens10121630","Organic","Chicken","GEN","Campylobacter",0,34
"Europe","doi.org/10.3390/pathogens10121630","Organic","Chicken","NAL","Campylobacter",0,34
"Europe","doi.org/10.3390/pathogens10121630","Organic","Chicken","STR","Campylobacter",0,34
"Europe","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","AMC","MRSA",14,35
"Europe","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","AMP","MRSA",100,35
"Europe","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","APR","MRSA",23,35
"Europe","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","CEQ","MRSA",0,35
"Europe","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","CLIN","MRSA",46,35
"Europe","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","CTF","MRSA",14,35
"Europe","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","ENR","MRSA",34,35
"Europe","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","ERY","MRSA",49,35
"Europe","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","GEN","MRSA",34,35
"Europe","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","NEO","MRSA",0,35
"Europe","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","TIL","MRSA",40,35
"Europe","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","CIP","S.aureus",22,36
"Europe","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","CLIN","S.aureus",47,36
"Europe","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","ERY","S.aureus",44,36
"Europe","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","GEN","S.aureus",11,36
"Europe","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","KAN","S.aureus",22,36
"Europe","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","LZD","S.aureus",3,36
"Europe","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","RMP","S.aureus",3,36
"Europe","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","STR","S.aureus",33,36
"Europe","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","VAN","S.aureus",0,36
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","ERY","Listeria",0,39
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","GEN","Listeria",0,39
"Europe","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","VAN","Listeria",0,39
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","AMC","Salmonella",4,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","AMP","Salmonella",4,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","AZI","Salmonella",3,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","CIP","Salmonella",1,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","CRO","Salmonella",5,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","CTF","Salmonella",3,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","GEN","Salmonella",2,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","NAL","Salmonella",1,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","STR","Salmonella",3,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","AMC","Salmonella",20,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","AMP","Salmonella",19,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","AZI","Salmonella",8,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","CIP","Salmonella",1,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","CRO","Salmonella",17,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","CTF","Salmonella",15,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","GEN","Salmonella",2,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","NAL","Salmonella",10,40
"North America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","STR","Salmonella",9,40
"Europe","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","AMC","Campylobacter",0,41
"Europe","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","AMK","Campylobacter",15,41
"Europe","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","AMP","Campylobacter",66,41
"Europe","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","CBP","Campylobacter",0,41
"Europe","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","CIP","Campylobacter",52,41
"Europe","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","CTX","Campylobacter",4,41
"Europe","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","ERY","Campylobacter",76,41
"Europe","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","GEN","Campylobacter",0,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","AMC","Salmonella",44,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","AMK","Salmonella",0,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","AMP","Salmonella",44,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","CIP","Salmonella",0,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","CRO","Salmonella",45,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","CTF","Salmonella",44,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","GEN","Salmonella",0,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","KAN","Salmonella",0,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","NAL","Salmonella",0,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","STR","Salmonella",89,41
"Europe","DOI: 10.3382/ps/pev259","Organic","Turkey","CIP","Campylobacter",44,41
"Europe","DOI: 10.3382/ps/pev259","Organic","Turkey","ERY","Campylobacter",0,41
"Europe","DOI: 10.3382/ps/pev259","Organic","Turkey","GEN","Campylobacter",0,41
"Europe","DOI: 10.3382/ps/pev259","Organic","Turkey","NAL","Campylobacter",44,41
"Europe","DOI: 10.3382/ps/pev259","Organic","Turkey","STR","Campylobacter",0,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","AMC","Salmonella",6,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","AMK","Salmonella",0,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","AMP","Salmonella",6,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","CIP","Salmonella",0,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","CRO","Salmonella",6,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","CTF","Salmonella",6,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","GEN","Salmonella",0,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","KAN","Salmonella",3,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","NAL","Salmonella",0,41
"North America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","STR","Salmonella",100,41
"North America","DOI: 10.1289/ehp.1003350","Conventional","Environment","CIP","Enterococcus",62,42
"North America","DOI: 10.1289/ehp.1003350","Conventional","Environment","ERY","Enterococcus",10,42
"North America","DOI: 10.1289/ehp.1003350","Conventional","Environment","GEN","Enterococcus",21,42
"North America","DOI: 10.1289/ehp.1003350","Conventional","Environment","KAN","Enterococcus",33,42
"North America","DOI: 10.1289/ehp.1003350","Conventional","Environment","STR","Enterococcus",10,42
"North America","DOI: 10.1289/ehp.1003350","Conventional","Environment","TGC","Enterococcus",7,42
"North America","doi.org/10.1016/j.foodcont.2021.108738","Organic","Chicken","STR","Salmonella",88,42
"Europe","doi: 10.3382/ps.2013-03729.","Organic","Chicken","AMC","Campylobacter",43,43
"Europe","doi: 10.3382/ps.2013-03729.","Organic","Chicken","AMP","Campylobacter",78,43
"Europe","doi: 10.3382/ps.2013-03729.","Organic","Chicken","CIP","Campylobacter",96,43
"Europe","doi: 10.3382/ps.2013-03729.","Organic","Chicken","ERY","Campylobacter",27,43
"Europe","doi: 10.3382/ps.2013-03729.","Organic","Chicken","GEN","Campylobacter",13,43
"Europe","doi: 10.3382/ps.2013-03729.","Organic","Chicken","NAL","Campylobacter",97,43
"Europe","doi: 10.3382/ps.2013-03729.","Organic","Chicken","NOR","Campylobacter",91,43
"Europe","doi: 10.3382/ps.2013-03729.","Organic","Chicken","OFX","Campylobacter",90,43
"North America","DOI: 10.1289/ehp.1003350","Conventional","Environment","CIP","Enterococcus",7,45
"North America","DOI: 10.1289/ehp.1003350","Conventional","Environment","ERY","Enterococcus",60,45
"North America","DOI: 10.1289/ehp.1003350","Conventional","Environment","GEN","Enterococcus",11,45
"North America","DOI: 10.1289/ehp.1003350","Conventional","Environment","KAN","Enterococcus",24,45
"North America","DOI: 10.1289/ehp.1003350","Conventional","Environment","STR","Enterococcus",36,45
"North America","DOI: 10.1289/ehp.1003350","Conventional","Environment","TGC","Enterococcus",64,45
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","AMC","S.aureus",0,46
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","CLIN","S.aureus",4,46
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","CTF","S.aureus",2,46
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","ENR","S.aureus",6,46
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","ERY","S.aureus",9,46
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","GEN","S.aureus",11,46
"Europe","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","VAN","S.aureus",0,46
"Asia","DOI: 10.3382/ps/pex275","Conventional","Chicken","CIP","Enterococcus",31,52
"Asia","DOI: 10.3382/ps/pex275","Conventional","Chicken","ERY","Enterococcus",44,52
"Asia","DOI: 10.3382/ps/pex275","Conventional","Chicken","GEN","Enterococcus",6,52
"Asia","DOI: 10.3382/ps/pex275","Conventional","Chicken","LZD","Enterococcus",4,52
"Asia","DOI: 10.3382/ps/pex275","Conventional","Chicken","RMP","Enterococcus",46,52
"Asia","DOI: 10.3382/ps/pex275","Conventional","Chicken","TEC","Enterococcus",0,52
"Asia","DOI: 10.3382/ps/pex275","Conventional","Chicken","TGC","Enterococcus",0,52
"Asia","DOI: 10.3382/ps/pex275","Conventional","Chicken","VAN","Enterococcus",0,52
"Europe","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","AMP","E.coli",25,52
"Europe","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","CIP","E.coli",0,52
"Europe","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","CTX","E.coli",0,52
"Europe","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","GEN","E.coli",6,52
"Europe","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","NAL","E.coli",0,52
"Europe","doi: 10.1371/journal.pone.0157049","Conventional","Pigs","STR","E.coli",44,52
"North America","doi.org/10.1016/j.foodcont.2021.108738","Conventional","Chicken","STR","Salmonella",59,52
"Asia","DOI: 10.3382/ps/pex275","Organic","Chicken","CIP","Enterococcus",9,52
"Asia","DOI: 10.3382/ps/pex275","Organic","Chicken","ERY","Enterococcus",17,52
"Asia","DOI: 10.3382/ps/pex275","Organic","Chicken","GEN","Enterococcus",2,52
"Asia","DOI: 10.3382/ps/pex275","Organic","Chicken","LZD","Enterococcus",0,52
"Asia","DOI: 10.3382/ps/pex275","Organic","Chicken","RMP","Enterococcus",40,52
"Asia","DOI: 10.3382/ps/pex275","Organic","Chicken","TEC","Enterococcus",0,52
"Asia","DOI: 10.3382/ps/pex275","Organic","Chicken","TGC","Enterococcus",0,52
"Asia","DOI: 10.3382/ps/pex275","Organic","Chicken","VAN","Enterococcus",0,52
"Europe","doi: 10.1371/journal.pone.0157049","Organic","Pigs","AMP","E.coli",4,52
"Europe","doi: 10.1371/journal.pone.0157049","Organic","Pigs","CIP","E.coli",0,52
"Europe","doi: 10.1371/journal.pone.0157049","Organic","Pigs","CTX","E.coli",0,52
"Europe","doi: 10.1371/journal.pone.0157049","Organic","Pigs","GEN","E.coli",0,52
"Europe","doi: 10.1371/journal.pone.0157049","Organic","Pigs","NAL","E.coli",0,52
"Europe","doi: 10.1371/journal.pone.0157049","Organic","Pigs","STR","E.coli",14,52
"North America","PMID: 22468028","Organic","Chicken","AMP","Campylobacter",0,54
"North America","PMID: 22468028","Organic","Chicken","AZI","Campylobacter",6,54
"North America","PMID: 22468028","Organic","Chicken","CIP","Campylobacter",0,54
"North America","PMID: 22468028","Organic","Chicken","CLIN","Campylobacter",2,54
"North America","PMID: 22468028","Organic","Chicken","ERY","Campylobacter",6,54
"North America","PMID: 22468028","Organic","Chicken","GEN","Campylobacter",0,54
"North America","PMID: 22468028","Organic","Chicken","NAL","Campylobacter",0,54
"Europe","DOI: 10.3382/ps/pev259","Organic","Turkey","CIP","Campylobacter",74,55
"Europe","DOI: 10.3382/ps/pev259","Organic","Turkey","ERY","Campylobacter",0,55
"Europe","DOI: 10.3382/ps/pev259","Organic","Turkey","GEN","Campylobacter",0,55
"Europe","DOI: 10.3382/ps/pev259","Organic","Turkey","NAL","Campylobacter",73,55
"Europe","DOI: 10.3382/ps/pev259","Organic","Turkey","STR","Campylobacter",0,55
"North America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","AMC","Salmonella",55,58
"North America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","AMK","Salmonella",0,58
"North America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","AMP","Salmonella",57,58
"North America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","CIP","Salmonella",0,58
"North America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","CRO","Salmonella",9,58
"North America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","CTF","Salmonella",54,58
"North America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","GEN","Salmonella",2,58
"North America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","KAN","Salmonella",2,58
"North America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","NAL","Salmonella",0,58
"North America","DOI: 10.1089/fpd.2010.0566","Conventional","Chicken","STR","Salmonella",91,58
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","AMC","E.coli",73,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","AMP","E.coli",100,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","CIP","E.coli",73,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","CTX","E.coli",0,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","FOS","E.coli",0,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","GEN","E.coli",40,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","NAL","E.coli",100,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Conventional","Chicken","TZP","E.coli",13,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","AMC","E.coli",20,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","AMP","E.coli",53,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","CIP","E.coli",27,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","CTX","E.coli",27,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","FOS","E.coli",0,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","GEN","E.coli",0,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","NAL","E.coli",40,60
"Europe","doi.org/10.1016/j.foodcont.2012.06.005","Organic","Chicken","TZP","E.coli",13,60
"North America","DOI: 10.1289/ehp.1003350","Organic","Environment","CIP","Enterococcus",6,63
"North America","DOI: 10.1289/ehp.1003350","Organic","Environment","ERY","Enterococcus",17,63
"North America","DOI: 10.1289/ehp.1003350","Organic","Environment","GEN","Enterococcus",0,63
"North America","DOI: 10.1289/ehp.1003350","Organic","Environment","KAN","Enterococcus",8,63
"North America","DOI: 10.1289/ehp.1003350","Organic","Environment","STR","Enterococcus",11,63
"North America","DOI: 10.1289/ehp.1003350","Organic","Environment","TGC","Enterococcus",21,63
"Asia","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","AMC","Salmonella",21,71
"Asia","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Pigs","AMP","Salmonella",25,71
