"doi","author","year","journal"
"DOI: 10.9775/kvfd.2019.23638","G<dc>C<dc>KOGLU, Ali, et al",2020,"Kafkas <dc>niversitesi Veteriner Fak<fc>ltesi Dergisi"
"doi: 10.4315/0362-028x-69.3.482.","Halbert, Lisa W., et al",2006,"Journal of food protection"
"DOI: 10.1111/jfs.12588","Incili, G<f6>khan K<fc>rsad, et al",2019,"Journal of food safety"
"DOI: 10.4315/0362-028x-67.7.1433","LeJEUNE, JEFFREY T.",2004,"Journal of food protection"
"DOI: 10.1016/j.ijfoodmicro.2013.01.020","Li, Ruichao, et al.",2013,"International journal of food microbiology"
"PMID: 24053020","Mazurek, Justyna, et al.",2013,"Pol. J. Microbiol"
"DOI: 10.4315/0362-028x-71.12.2537","Miranda, J. M., et al.",2008,"Journal of food protection"
"doi.org/10.1080/11358120902907014","Miranda, J. M., et al.",2009,"CyTA<U+0096>Journal of Food"
"doi.org/10.5713/ab.21.0232","Mitchaothai, J., & Srikijkasemwat, K.",2022,"Animal Bioscience"
"doi: 10.3390/antibiotics9100701","SM, Jajere et al",2020,"Antibiotics"
"DOI: 10.1016/j.psj.2019.10.027","Mughini-Gras, Lapo, et al.",2020,"Poultry Science"
"doi.org/10.3390/antibiotics10111321","Musa, Laura, et al.",2021,"Antibiotics"
"doi.org/10.1016/j.ijfoodmicro.2019.108391","Pesciaroli, Michele, et al",2020,"International journal of food microbiology"
"doi: 10.1128/AEM.07723-11","Hayashi and Thakur",2012,"Applied and environmental microbiology"
"dx.doi.org/ 10.3382/ps.2013-03175","Lee, Soo-Kyoung, et al.",2013,"Poultry Science"
"doi.org/10.1016/j.envres.2021.110954","Rhodes, Sarah, et al.",2021,"Environmental Research"
"doi.org/10.3168/jds.2017-12939","Tenhagen et al.",2018,"Journal of dairy science"
"DOI: 10.1111/j.1863-2378.2008.01229.x","Schwaiger et al.",2010,"Zoonoses and public health"
"doi:10.2134/jeq2015.05.0245","Zwonitzer et al..",2016,"Journal of environmental quality"
"doi.org/10.3390/pathogens10121630","Hansson, Ingrid, et al.",2021,"Pathogens"
"doi.org/10.1016/j.foodcont.2021.108738","Rama et al.",2022,"Food control"
