"country","doi","farm_type","host","antimicrobial_class","pathogen","percent_resistant","no_isolates"
"United States of America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","Sulfonamide","Salmonella",8,12
"United States of America","DOI: 10.1089/fpd.2010.0566","Organic","Chicken","Tetracycline","Salmonella",33,12
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","1st_gen cephalosporin","Salmonella",0,16
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","2nd_gen cephalosporin","Salmonella",0,16
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","3rd_gen cephalosporin","Salmonella",0,16
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","Amino-penicillin","Salmonella",0,16
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","Aminoglycoside","Salmonella",0,16
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","Aminopenicillin - betalactamase inhibitors","Salmonella",0,16
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","Amphenicol","Salmonella",0,16
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","Carbapenem","Salmonella",0,16
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","Macrolide","Salmonella",100,16
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","Quinolones","Salmonella",0,16
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","Sulfonamide","Salmonella",0,16
"South Korea","dx.doi.org/ 10.3382/ps.2013-03175","Conventional","Chicken","Tetracycline","Salmonella",0,16
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Aminoglycoside","Enterococcus",2,18
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Amphenicol","Enterococcus",0,18
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Glycylcyclines","Enterococcus",0,18
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Lincosamides","Enterococcus",50,18
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Macrolide","Enterococcus",6,18
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Nitrofuran derivatives","Enterococcus",39,18
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Penicillin","Enterococcus",6,18
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Phosphoglycolipids","Enterococcus",78,18
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Quinolones","Enterococcus",41,18
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Streptogramins","Enterococcus",6,18
"United States of America","DOI: 10.1289/ehp.1003350","Organic","Environment","Tetracycline","Enterococcus",22,18
"Italy","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","3rd_gen cephalosporin","E.coli",0,28
"Italy","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","Amino-penicillin","E.coli",93,28
"Italy","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","Aminoglycoside","E.coli",50,28
"Italy","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","Amphenicol","E.coli",25,28
"Italy","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","Polymyxins","E.coli",14,28
"Italy","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","Quinolones","E.coli",62,28
"Italy","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","Sulfonamide","E.coli",62,28
"Italy","DOI: 10.1016/j.psj.2019.10.027","Conventional","Turkey","Tetracycline","E.coli",89,28
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","3rd_gen cephalosporin","Salmonella",3,30
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","Amino-penicillin","Salmonella",23,30
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","Aminocyclitols","Salmonella",47,30
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","Aminoglycoside","Salmonella",47,30
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","Aminopenicillin - betalactamase inhibitors","Salmonella",13,30
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","Amphenicol","Salmonella",6,30
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","Quinolones","Salmonella",28,30
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","Sulfonamide","Salmonella",57,30
"China","DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional","Chicken","Tetracycline","Salmonella",50,30
"United Kingdom","DOI: 10.1016/j.ijantimicag.2005.09.020","Organic","Chicken","Macrolide","Campylobacter",100,30
"United Kingdom","DOI: 10.1016/j.ijantimicag.2005.09.020","Organic","Chicken","Quinolones","Campylobacter",0,30
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Aminoglycoside","Listeria",0,32
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Amphenicol","Listeria",3,32
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Glycopeptides","Listeria",0,32
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Macrolide","Listeria",6,32
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Sulfonamide","Listeria",16,32
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Conventional","Chicken","Tetracycline","Listeria",19,32
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","3rd_gen cephalosporin","S.aureus",0,33
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","Aminoglycoside","S.aureus",6,33
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","Aminopenicillin - betalactamase inhibitors","S.aureus",0,33
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","Amphenicol","S.aureus",6,33
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","Glycopeptides","S.aureus",0,33
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","Macrolide","S.aureus",0,33
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","Penicillin","S.aureus",2,33
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","Quinolones","S.aureus",6,33
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","Streptogramins","S.aureus",0,33
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Conventional","Cattle","Tetracycline","S.aureus",0,33
"Malaysia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","3rd_gen cephalosporin","Salmonella",3,34
"Malaysia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","Amino-penicillin","Salmonella",15,34
"Malaysia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","Aminoglycoside","Salmonella",12,34
"Malaysia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","Aminopenicillin - betalactamase inhibitors","Salmonella",0,34
"Malaysia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","Amphenicol","Salmonella",6,34
"Malaysia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","Nitrofuran derivatives","Salmonella",6,34
"Malaysia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","Quinolones","Salmonella",12,34
"Malaysia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","Sulfonamide","Salmonella",16,34
"Malaysia","doi: 10.3390/antibiotics9100701","Conventional","Chicken","Tetracycline","Salmonella",35,34
"Sweden","doi.org/10.3390/pathogens10121630","Conventional","Chicken","Aminoglycoside","Campylobacter",6,34
"Sweden","doi.org/10.3390/pathogens10121630","Conventional","Chicken","Macrolide","Campylobacter",0,34
"Sweden","doi.org/10.3390/pathogens10121630","Conventional","Chicken","Quinolones","Campylobacter",11,34
"Sweden","doi.org/10.3390/pathogens10121630","Conventional","Chicken","Tetracycline","Campylobacter",0,34
"Malaysia","doi: 10.3390/antibiotics9100701","Organic","Chicken","3rd_gen cephalosporin","Salmonella",0,34
"Malaysia","doi: 10.3390/antibiotics9100701","Organic","Chicken","Amino-penicillin","Salmonella",9,34
"Malaysia","doi: 10.3390/antibiotics9100701","Organic","Chicken","Aminoglycoside","Salmonella",8,34
"Malaysia","doi: 10.3390/antibiotics9100701","Organic","Chicken","Aminopenicillin - betalactamase inhibitors","Salmonella",3,34
"Malaysia","doi: 10.3390/antibiotics9100701","Organic","Chicken","Amphenicol","Salmonella",0,34
"Malaysia","doi: 10.3390/antibiotics9100701","Organic","Chicken","Nitrofuran derivatives","Salmonella",0,34
"Malaysia","doi: 10.3390/antibiotics9100701","Organic","Chicken","Quinolones","Salmonella",3,34
"Malaysia","doi: 10.3390/antibiotics9100701","Organic","Chicken","Sulfonamide","Salmonella",8,34
"Malaysia","doi: 10.3390/antibiotics9100701","Organic","Chicken","Tetracycline","Salmonella",9,34
"Sweden","doi.org/10.3390/pathogens10121630","Organic","Chicken","Aminoglycoside","Campylobacter",0,34
"Sweden","doi.org/10.3390/pathogens10121630","Organic","Chicken","Macrolide","Campylobacter",0,34
"Sweden","doi.org/10.3390/pathogens10121630","Organic","Chicken","Quinolones","Campylobacter",0,34
"Sweden","doi.org/10.3390/pathogens10121630","Organic","Chicken","Tetracycline","Campylobacter",0,34
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","1st_gen cephalosporin","MRSA",0,35
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","3rd_gen cephalosporin","MRSA",14,35
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","4th_gen cephalosporin","MRSA",0,35
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","Amino-penicillin","MRSA",100,35
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","Aminocyclitols","MRSA",43,35
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","Aminoglycoside","MRSA",19,35
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","Aminopenicillin - betalactamase inhibitors","MRSA",14,35
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","Amphenicol","MRSA",3,35
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","Macrolide","MRSA",45,35
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","Penicillin","MRSA",100,35
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","Pleuromutilins","MRSA",11,35
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","Quinolones","MRSA",34,35
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","Sulfonamide","MRSA",11,35
"Germany","DOI: 10.2376/0005-9366-127-135","Organic","Pigs","Tetracycline","MRSA",100,35
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","2nd_gen cephalosporin","S.aureus",100,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Aminoglycoside","S.aureus",22,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Amphenicol","S.aureus",8,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Ansamycin","S.aureus",3,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Glycopeptides","S.aureus",0,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Macrolide","S.aureus",46,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Oxazolidinones","S.aureus",3,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Penicillin","S.aureus",100,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Pleuromutilins","S.aureus",39,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Pseudomonic acids","S.aureus",0,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Quinolones","S.aureus",22,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Steroids antibacterials","S.aureus",6,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Streptogramins","S.aureus",39,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Sulfonamide","S.aureus",24,36
"Germany","doi.org/10.3168/jds.2017-12939","Conventional","Cattle","Tetracycline","S.aureus",97,36
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Aminoglycoside","Listeria",0,39
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Amphenicol","Listeria",0,39
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Glycopeptides","Listeria",0,39
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Macrolide","Listeria",0,39
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Sulfonamide","Listeria",20,39
"Spain","DOI: 10.4315/0362-028x-71.12.2537","Organic","Chicken","Tetracycline","Listeria",3,39
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","2nd_gen cephalosporin","Salmonella",4,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","3rd_gen cephalosporin","Salmonella",4,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","Amino-penicillin","Salmonella",4,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","Aminoglycoside","Salmonella",2,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","Aminopenicillin - betalactamase inhibitors","Salmonella",4,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","Amphenicol","Salmonella",1,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","Macrolide","Salmonella",3,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","Quinolones","Salmonella",1,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","Sulfonamide","Salmonella",2,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Conventional","Chicken","Tetracycline","Salmonella",2,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","2nd_gen cephalosporin","Salmonella",19,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","3rd_gen cephalosporin","Salmonella",16,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","Amino-penicillin","Salmonella",19,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","Aminoglycoside","Salmonella",6,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","Aminopenicillin - betalactamase inhibitors","Salmonella",20,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","Amphenicol","Salmonella",10,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","Macrolide","Salmonella",8,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","Quinolones","Salmonella",6,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","Sulfonamide","Salmonella",9,40
"United States of America","DOI: 10.4315/0362-028X.JFP-19-269","Organic","Chicken","Tetracycline","Salmonella",13,40
"Greece","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","2nd_gen cephalosporin","Campylobacter",35,41
"Greece","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","3rd_gen cephalosporin","Campylobacter",4,41
"Greece","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","Amino-penicillin","Campylobacter",66,41
"Greece","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","Aminoglycoside","Campylobacter",8,41
"Greece","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","Aminopenicillin - betalactamase inhibitors","Campylobacter",0,41
"Greece","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","Carbapenem","Campylobacter",0,41
"Greece","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","Macrolide","Campylobacter",76,41
"Greece","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","Quinolones","Campylobacter",52,41
"Greece","https://doi.org/10.1016/j.foodcont.2015.03.022","Conventional","Chicken","Tetracycline","Campylobacter",72,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","2nd_gen cephalosporin","Salmonella",44,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","3rd_gen cephalosporin","Salmonella",44,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","Amino-penicillin","Salmonella",44,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","Aminoglycoside","Salmonella",22,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","Aminopenicillin - betalactamase inhibitors","Salmonella",44,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","Amphenicol","Salmonella",0,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","Quinolones","Salmonella",0,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","Sulfonamide","Salmonella",0,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Conventional","Chicken","Tetracycline","Salmonella",89,41
"Germany","DOI: 10.3382/ps/pev259","Organic","Turkey","Aminoglycoside","Campylobacter",0,41
"Germany","DOI: 10.3382/ps/pev259","Organic","Turkey","Amphenicol","Campylobacter",0,41
"Germany","DOI: 10.3382/ps/pev259","Organic","Turkey","Macrolide","Campylobacter",0,41
"Germany","DOI: 10.3382/ps/pev259","Organic","Turkey","Quinolones","Campylobacter",44,41
"Germany","DOI: 10.3382/ps/pev259","Organic","Turkey","Tetracycline","Campylobacter",49,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","2nd_gen cephalosporin","Salmonella",6,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","3rd_gen cephalosporin","Salmonella",6,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","Amino-penicillin","Salmonella",6,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","Aminoglycoside","Salmonella",26,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","Aminopenicillin - betalactamase inhibitors","Salmonella",6,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","Amphenicol","Salmonella",0,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","Quinolones","Salmonella",0,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","Sulfonamide","Salmonella",0,41
"United States of America","DOI: 10.1016/j.scitotenv.2013.12.005","Organic","Chicken","Tetracycline","Salmonella",100,41
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Aminoglycoside","Enterococcus",21,42
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Amphenicol","Enterococcus",0,42
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Glycylcyclines","Enterococcus",7,42
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Lincosamides","Enterococcus",95,42
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Macrolide","Enterococcus",10,42
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Nitrofuran derivatives","Enterococcus",74,42
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Penicillin","Enterococcus",52,42
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Phosphoglycolipids","Enterococcus",50,42
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Quinolones","Enterococcus",62,42
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Streptogramins","Enterococcus",19,42
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Tetracycline","Enterococcus",86,42
"United States of America","doi.org/10.1016/j.foodcont.2021.108738","Organic","Chicken","Aminoglycoside","Salmonella",88,42
"United States of America","doi.org/10.1016/j.foodcont.2021.108738","Organic","Chicken","Amphenicol","Salmonella",2,42
"United States of America","doi.org/10.1016/j.foodcont.2021.108738","Organic","Chicken","Tetracycline","Salmonella",88,42
"Portugal","doi: 10.3382/ps.2013-03729.","Organic","Chicken","Amino-penicillin","Campylobacter",78,43
"Portugal","doi: 10.3382/ps.2013-03729.","Organic","Chicken","Aminoglycoside","Campylobacter",13,43
"Portugal","doi: 10.3382/ps.2013-03729.","Organic","Chicken","Aminopenicillin - betalactamase inhibitors","Campylobacter",43,43
"Portugal","doi: 10.3382/ps.2013-03729.","Organic","Chicken","Amphenicol","Campylobacter",47,43
"Portugal","doi: 10.3382/ps.2013-03729.","Organic","Chicken","Macrolide","Campylobacter",27,43
"Portugal","doi: 10.3382/ps.2013-03729.","Organic","Chicken","Quinolones","Campylobacter",94,43
"Portugal","doi: 10.3382/ps.2013-03729.","Organic","Chicken","Sulfonamide","Campylobacter",26,43
"Portugal","doi: 10.3382/ps.2013-03729.","Organic","Chicken","Tetracycline","Campylobacter",74,43
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Aminoglycoside","Enterococcus",24,45
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Amphenicol","Enterococcus",0,45
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Glycylcyclines","Enterococcus",64,45
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Lincosamides","Enterococcus",100,45
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Macrolide","Enterococcus",60,45
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Nitrofuran derivatives","Enterococcus",7,45
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Penicillin","Enterococcus",7,45
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Phosphoglycolipids","Enterococcus",9,45
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Quinolones","Enterococcus",7,45
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Streptogramins","Enterococcus",16,45
"United States of America","DOI: 10.1289/ehp.1003350","Conventional","Environment","Tetracycline","Enterococcus",96,45
"Switzerland","doi.org/10.3168/jds.S0022-0302(06)72164-6","Organic","Cattle","3rd_gen cephalosporin","S.aureus",2,46
