"doi","farm_type","sampling_end_date","mean"
"DOI: 10.1016/j.ijfoodmicro.2013.01.020","Conventional",2011,52
"DOI: 10.2376/0005-9366-127-135","Conventional",2011,36
"doi.org/10.1016/j.foodcont.2012.06.005","Conventional",2011,49
"DOI: 10.2376/0005-9366-127-135","Organic",2011,36
"doi.org/10.1016/j.foodcont.2012.06.005","Organic",2011,21
"doi: 10.1371/journal.pone.0157049","Conventional",2012,41
"dx.doi.org/ 10.3382/ps.2013-03175","Conventional",2012,6
"https://doi.org/10.3389/fmicb.2017.00955","Conventional",2012,50
"doi: 10.1371/journal.pone.0157049","Organic",2012,21
"dx.doi.org/ 10.3382/ps.2013-03175","Organic",2012,6
"https://doi.org/10.3389/fmicb.2017.00955","Organic",2012,34
"DOI: 10.1016/j.psj.2019.10.027","Conventional",2013,47
"DOI: 10.1016/j.vetmic.2015.05.005","Conventional",2013,16
"doi: 10.1371/journal.pone.0157049","Conventional",2013,41
"https://doi.org/10.3389/fmicb.2017.00955","Conventional",2013,55
"DOI: 10.1016/j.psj.2019.10.027","Organic",2013,29
"DOI: 10.1016/j.vetmic.2015.05.005","Organic",2013,11
"doi: 10.1371/journal.pone.0157049","Organic",2013,21
"DOI: 10.3382/ps/pev259","Organic",2013,35
"https://doi.org/10.3389/fmicb.2017.00955","Organic",2013,35
"doi.org/10.3168/jds.2017-12939","Conventional",2014,34
"DOI: 10.1111/jfs.12588","Organic",2014,15
"doi.org/10.3168/jds.2017-12939","Organic",2014,31
"DOI: 10.1089/fpd.2016.2161","Conventional",2015,29
"DOI: 10.3390/ani10122217","Conventional",2015,75
"doi.org/10.1016/j.envres.2021.110954","Conventional",2015,28
"DOI: 10.1089/fpd.2016.2161","Organic",2015,23
"DOI: 10.3390/ani10122217","Organic",2015,79
"doi.org/10.1016/j.envres.2021.110954","Organic",2015,12
"DOI: 10.3382/ps/pex275","Conventional",2016,22
"https://doi.org/10.1016/j.japr.2021.100158","Conventional",2016,44
"DOI: 10.1016/j.prevetmed.2019.104755","Organic",2016,77
"DOI: 10.3382/ps/pex275","Organic",2016,17
"https://doi.org/10.1016/j.japr.2021.100158","Organic",2016,43
"DOI: 10.3390/antibiotics9110834","Conventional",2017,28
"DOI: 10.3390/antibiotics9110834","Organic",2017,29
"DOI: 10.1016/j.crmicr.2021.100088","Conventional",2018,23
"doi: 10.3390/antibiotics9100701","Conventional",2018,15
"doi.org/10.1016/j.ijfoodmicro.2019.108391","Conventional",2018,53
"DOI: 10.1016/j.crmicr.2021.100088","Organic",2018,19
"doi: 10.3390/antibiotics9100701","Organic",2018,7
"DOI: 10.9775/kvfd.2019.23638","Organic",2018,12
"doi.org/10.1016/j.ijfoodmicro.2019.108391","Organic",2018,42
"doi.org/10.3390/pathogens10121630","Conventional",2019,19
"doi.org/10.3390/pathogens10121630","Organic",2019,8
"doi: 10.3389/fvets.2021.607491","Conventional",2020,39
"doi.org/10.5713/ab.21.0232","Conventional",2020,38
"doi: 10.3389/fvets.2021.607491","Organic",2020,12
"doi.org/10.5713/ab.21.0232","Organic",2020,32
